"gene","spearman_correlation","p_value","cancer_type"
"MEIS2",0.730565086664958,2.67199466007839e-27,"TGCT"
"ECHDC1",0.729306887022849,3.6227783272546e-27,"TGCT"
"DUSP6",0.729221531770747,3.69814282654004e-27,"TGCT"
"NXPH2",0.729085854307716,3.82111774590722e-27,"TGCT"
"BCL9L",0.728816884649667,4.07688805563659e-27,"TGCT"
"COL14A1",0.728747335925731,4.14571244593685e-27,"TGCT"
"FLT1",0.728235204413114,4.68885171447805e-27,"TGCT"
"HRH1",0.727369006669552,5.77062163899875e-27,"TGCT"
"COL6A1",0.727283651417449,5.88962801146756e-27,"TGCT"
"C1RL",0.727128747441411,6.11178574666712e-27,"TGCT"
"TSACC",-0.726774681210466,6.65091813729812e-27,"TGCT"
"ANTXR2",0.726765197293565,6.66598309988637e-27,"TGCT"
"NID1",0.72659448678936,6.94295047364418e-27,"TGCT"
"EDNRB",0.726490163703456,7.11773568674672e-27,"TGCT"
"RGL1",0.725494352428923,9.0190668426976e-27,"TGCT"
"AGPAT3",0.724406863291021,1.16662920212761e-26,"TGCT"
"STAT6",0.72338576157142,1.48386875380193e-26,"TGCT"
"CCBE1",0.723224534984115,1.54115688537546e-26,"TGCT"
"EXT1",0.722696596943331,1.74435848428862e-26,"TGCT"
"DOK6",0.722228723709582,1.94626141272287e-26,"TGCT"
"AATK",0.721887302701171,2.10789869127989e-26,"TGCT"
"FBLN7",0.72136252596602,2.38234826212305e-26,"TGCT"
"SESN3",0.721267686797017,2.43555919871112e-26,"TGCT"
"NR2F2",0.720891491426638,2.65835900759009e-26,"TGCT"
"POSTN",0.7207555552844,2.74368851986379e-26,"TGCT"
"NRP1",0.720028454988709,3.24780144267694e-26,"TGCT"
"HOXD10",0.719883981887262,3.35828413856765e-26,"TGCT"
"HOXA10-HOXA9",0.719636742104122,3.55597177955758e-26,"TGCT"
"FN1",0.719095869826845,4.02910318364027e-26,"TGCT"
"ANGPTL2",0.718735480984633,4.37809539943133e-26,"TGCT"
"BMP2",0.718583738314228,4.53376100536678e-26,"TGCT"
"LTBP1",0.718375092142421,4.75670021098797e-26,"TGCT"
"CDC42EP3",0.718308704724119,4.82986532347898e-26,"TGCT"
"CAPN6",0.718175929887515,4.97952354534609e-26,"TGCT"
"C1orf198",0.717926186742473,5.27345214118222e-26,"TGCT"
"RAD23A",-0.717862960629804,5.35052465304455e-26,"TGCT"
"OAF",0.71761954009603,5.65770815555939e-26,"TGCT"
"JAG1",0.717218054280583,6.20257526933693e-26,"TGCT"
"FRMD4B",0.717056827693278,6.43558556433836e-26,"TGCT"
"SSPN",0.716816568465137,6.79883396935773e-26,"TGCT"
"FRMD4A",0.716800761936969,6.82342480334527e-26,"TGCT"
"PPAN",-0.716611083598963,7.12540857385942e-26,"TGCT"
"PTPRK",0.716408760038423,7.46197908558819e-26,"TGCT"
"ANXA4",0.715751208466668,8.66717260812871e-26,"TGCT"
"EFEMP2",0.7157259180216,8.71715314968035e-26,"TGCT"
"TFPI",0.715156883007582,9.91952068081504e-26,"TGCT"
"SLC4A4",0.714922946390707,1.04597394937009e-25,"TGCT"
"ARHGAP24",0.714783848942836,1.07945250156084e-25,"TGCT"
"XPNPEP1",0.714448750545691,1.16448217078965e-25,"TGCT"
"NET1",0.714322298320354,1.19824800361964e-25,"TGCT"
"SAMD4A",0.714268556124586,1.21288764862189e-25,"TGCT"
"MFAP4",0.714161071733049,1.24269528873055e-25,"TGCT"
"THBS1",0.713993522534476,1.29059903569693e-25,"TGCT"
"KCTD11",0.713446616659892,1.45991861215425e-25,"TGCT"
"RABL3",0.713402358381024,1.47453699048888e-25,"TGCT"
